category,n_tasks,joint_c_auc,concil_c_auc,naive_c_auc,bwt_concil,bwt_naive
bottle,3,0.8504222680408451,0.8504222680408451,0.819681207662927,-0.007593581210181943,-0.06121078800426627
capsule,5,0.8664414815075979,0.8664414815075979,0.5648433903891277,-0.0014680473391991133,-0.16521519917296995
hazelnut,4,0.868460387266945,0.868460387266945,0.6521873661924603,-0.01719813944688146,-0.11947267762924967
metal_nut,4,0.8450549461652463,0.8450549461652463,0.7397690662181374,0.007912963114689031,-0.042886136782827454
screw,5,0.8466256294622074,0.8466256294622074,0.6834605302731639,-0.006410974686581833,-0.09356208086204976
